Awards,Awards Nominated,Awards Wins,Oscar Nominations,Oscar Wins,Primetime Emmys Nominations,Primetime Emmys Wins,Golden Globe Nominations,Golden Globe Wins,BAFTA Nominations,BAFTA Wins
Nominated for 4 Oscars. Another 28 wins & 116 nominations.,120,28,4,0,0,0,0,0,0,0
Won 1 Oscar. Another 7 wins & 29 nominations.,29,8,0,1,0,0,0,0,0,0
Nominated for 2 Oscars. Another 25 wins & 58 nominations.,60,25,2,0,0,0,0,0,0,0
1 win.,0,1,0,0,0,0,0,0,0,0
2 nominations.,2,0,0,0,0,0,0,0,0,0
1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
2 wins & 1 nomination.,1,2,0,0,0,0,0,0,0,0
6 wins & 10 nominations.,10,6,0,0,0,0,0,0,0,0
Won 1 Golden Globe. Another 5 wins & 17 nominations.,17,6,0,0,0,0,0,1,0,0
1 nomination.,1,0,0,0,0,0,0,0,0,0
2 wins.,0,2,0,0,0,0,0,0,0,0
1 win.,0,1,0,0,0,0,0,0,0,0
2 wins & 3 nominations.,3,2,0,0,0,0,0,0,0,0
1 nomination.,1,0,0,0,0,0,0,0,0,0
1 win.,0,1,0,0,0,0,0,0,0,0
Nominated for 3 Golden Globes. Another 1 win & 25 nominations.,28,1,0,0,0,0,3,0,0,0
1 win & 7 nominations.,7,1,0,0,0,0,0,0,0,0
3 wins.,0,3,0,0,0,0,0,0,0,0
1 nomination.,1,0,0,0,0,0,0,0,0,0
2 nominations.,2,0,0,0,0,0,0,0,0,0
5 wins & 1 nomination.,1,5,0,0,0,0,0,0,0,0
1 win.,0,1,0,0,0,0,0,0,0,0
7 nominations.,7,0,0,0,0,0,0,0,0,0
2 wins & 2 nominations.,2,2,0,0,0,0,0,0,0,0
1 win.,0,1,0,0,0,0,0,0,0,0
2 nominations.,2,0,0,0,0,0,0,0,0,0
2 nominations.,2,0,0,0,0,0,0,0,0,0
1 nomination.,1,0,0,0,0,0,0,0,0,0
4 nominations.,4,0,0,0,0,0,0,0,0,0
Nominated for 1 Primetime Emmy. Another 4 wins & 17 nominations.,18,4,0,0,1,0,0,0,0,0
1 nomination.,1,0,0,0,0,0,0,0,0,0
2 wins & 10 nominations.,10,2,0,0,0,0,0,0,0,0
1 nomination.,1,0,0,0,0,0,0,0,0,0
1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
2 wins & 8 nominations.,8,2,0,0,0,0,0,0,0,0
1 nomination.,1,0,0,0,0,0,0,0,0,0
1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
3 wins & 10 nominations.,10,3,0,0,0,0,0,0,0,0
Nominated for 2 Primetime Emmys. Another 8 wins & 14 nominations.,16,8,0,0,2,0,0,0,0,0
1 win.,0,1,0,0,0,0,0,0,0,0
1 nomination.,1,0,0,0,0,0,0,0,0,0
4 wins & 9 nominations.,9,4,0,0,0,0,0,0,0,0
1 win.,0,1,0,0,0,0,0,0,0,0
3 nominations.,3,0,0,0,0,0,0,0,0,0
1 nomination.,1,0,0,0,0,0,0,0,0,0
1 win & 7 nominations.,7,1,0,0,0,0,0,0,0,0
7 wins & 8 nominations.,8,7,0,0,0,0,0,0,0,0
1 nomination.,1,0,0,0,0,0,0,0,0,0
