Date,Precipitation,Max Temp,Mean Temp,Min Temp
2/23/2013,5.84,3,2,0
2/24/2013,20.83,3,1,-2
2/25/2013,0.25,5,2,-2
2/26/2013,0,5,2,-2
2/27/2013,34.8,4,4,3
2/28/2013,0,7,4,1
3/1/2013,0,5,3,1
3/2/2013,0,6,3,1
3/3/2013,T,6,3,1
3/4/2013,T,5,2,-1
3/5/2013,T,6,3,0
3/6/2013,1.27,5,3,2
3/7/2013,2.79,3,1,-1
3/8/2013,9.14,6,2,-2
3/9/2013,0,3,2,-1
3/10/2013,0,3,1,-2
3/11/2013,0,10,6,2
3/12/2013,7.37,12,8,4
3/13/2013,T,11,7,4
3/14/2013,0,4,-1,-5
3/15/2013,0,5,-1,-6
3/16/2013,0,4,2,-1
3/17/2013,0,3,0,-4
3/18/2013,1.27,1,-3,-6
3/19/2013,17.27,2,0,-2
3/20/2013,0,4,1,-3
3/21/2013,0.51,2,1,-1
3/22/2013,0,4,2,-2
3/23/2013,0,7,3,-1
3/24/2013,0,9,5,1
3/25/2013,T,7,4,1
3/26/2013,1.27,10,6,1
3/27/2013,0,13,8,2
3/28/2013,T,9,6,3
3/29/2013,0.25,13,9,4
3/30/2013,0,12,8,4
3/31/2013,0.76,15,8,1
4/1/2013,3.05,17,9,2
4/2/2013,T,6,3,-1
4/3/2013,0,8,4,-1
4/4/2013,0,13,7,0
4/5/2013,0,14,9,3
4/6/2013,0,8,4,1
4/7/2013,0,12,6,0
4/8/2013,0,17,13,8
4/9/2013,1.52,23,15,7
4/10/2013,4.83,12,10,7
4/11/2013,1.02,9,8,6
4/12/2013,8.89,6,5,3
4/13/2013,0.51,11,7,2
4/14/2013,T,13,9,6
4/15/2013,0,9,7,3
4/16/2013,T,18,11,4
4/17/2013,T,19,14,8
4/18/2013,0,17,12,7
4/19/2013,1.27,24,18,12
4/20/2013,9.65,18,13,7
4/21/2013,0,10,7,3
4/22/2013,0,9,6,2
4/23/2013,3.3,6,6,5
4/24/2013,T,21,13,6
4/25/2013,0.76,19,14,9
4/26/2013,0,11,9,7
4/27/2013,0,13,9,6
4/28/2013,0,17,12,7
4/29/2013,0,20,14,9
4/30/2013,0,16,12,8
5/1/2013,0,16,12,7
5/2/2013,T,21,12,2
5/3/2013,0,12,9,7
5/4/2013,0,11,9,7
5/5/2013,0,12,8,4
5/6/2013,0,13,9,6
5/7/2013,0,22,16,8
5/8/2013,9.4,19,16,12
5/9/2013,15.49,17,14,12
5/10/2013,1.52,21,17,13
5/11/2013,0.51,22,19,15
5/12/2013,1.02,23,17,11
5/13/2013,0,16,12,8
5/14/2013,T,16,11,7
5/15/2013,T,19,13,7
5/16/2013,0,28,20,12
5/17/2013,0,21,17,12
5/18/2013,0,19,15,11
5/19/2013,4.32,17,14,10
5/20/2013,0.76,28,21,13
5/21/2013,0.25,19,15,11
5/22/2013,1.27,16,13,11
5/23/2013,1.27,25,18,12
5/24/2013,14.48,21,16,11
5/25/2013,8.64,12,9,6
5/26/2013,1.27,16,11,5
5/27/2013,0,23,16,8
5/28/2013,0,18,14,11
5/29/2013,21.34,21,18,14
5/30/2013,0,31,25,18
5/31/2013,0,34,28,22
6/1/2013,0,33,27,21
6/2/2013,0,31,26,20
6/3/2013,18.03,25,21,17
6/4/2013,0,23,18,13
6/5/2013,0,22,18,14
6/6/2013,0.51,21,17,14
6/7/2013,77.98,14,14,13
6/8/2013,13.72,26,19,13
6/9/2013,0,27,22,16
6/10/2013,22.35,21,18,14
6/11/2013,35.05,18,16,13
6/12/2013,1.78,22,18,13
6/13/2013,18.29,19,16,12
6/14/2013,25.91,23,18,12
6/15/2013,0,27,22,17
6/16/2013,T,25,21,16
6/17/2013,10.92,31,24,17
6/18/2013,16,22,18,15
6/19/2013,0,22,18,14
6/20/2013,0,25,20,14
6/21/2013,0,29,23,16
6/22/2013,0,29,24,18
6/23/2013,T,33,26,19
6/24/2013,8.38,35,28,21
6/25/2013,T,33,27,21
6/26/2013,1.02,29,23,18
6/27/2013,0.76,19,18,16
6/28/2013,11.43,27,22,17
6/29/2013,1.78,28,25,21
6/30/2013,2.79,29,25,21
7/1/2013,0.76,29,26,22
7/2/2013,T,28,22,16
7/3/2013,0,33,25,17
7/4/2013,0,34,29,24
7/5/2013,0,35,31,26
7/6/2013,0,34,30,26
7/7/2013,T,34,29,24
7/8/2013,0.25,29,24,19
7/9/2013,T,22,21,18
7/10/2013,0.25,30,25,19
7/11/2013,4.32,28,26,23
7/12/2013,0,23,21,19
7/13/2013,T,22,21,19
7/14/2013,0,34,27,21
7/15/2013,0,33,28,23
7/16/2013,0.25,34,29,24
7/17/2013,0,35,29,23
7/18/2013,0,33,29,24
7/19/2013,0,37,32,26
7/20/2013,0,36,31,26
7/21/2013,0.25,26,23,20
7/22/2013,0,24,22,20
7/23/2013,44.7,28,24,20
7/24/2013,0,31,25,19
7/25/2013,6.86,19,17,16
7/26/2013,25.4,22,19,17
7/27/2013,0,29,23,17
7/28/2013,0.25,24,22,19
7/29/2013,8.38,27,23,19
7/30/2013,0,29,24,19
7/31/2013,0,26,23,20
8/1/2013,T,28,23,19
8/2/2013,3.3,29,24,19
8/3/2013,0,27,23,20
8/4/2013,T,28,23,18
8/5/2013,0,26,21,16
8/6/2013,0,23,19,15
8/7/2013,0,26,21,16
8/8/2013,1.78,27,23,18
8/9/2013,41.15,24,23,22
8/10/2013,0,29,24,19
8/11/2013,0,27,22,17
8/12/2013,0,29,24,18
8/13/2013,T,23,21,19
8/14/2013,0,24,21,17
8/15/2013,0,26,21,16
8/16/2013,0,27,22,17
8/17/2013,0,23,21,18
8/18/2013,0,26,22,17
8/19/2013,0,29,23,18
8/20/2013,0,31,26,21
8/21/2013,0,32,26,19
8/22/2013,0,32,27,21
8/23/2013,0,26,22,19
8/24/2013,0,22,19,16
8/25/2013,0,28,22,16
8/26/2013,0.25,29,24,19
8/27/2013,0.25,24,22,18
8/28/2013,0,23,19,16
8/29/2013,T,19,18,17
8/30/2013,0,29,23,17
8/31/2013,T,28,24,21
9/1/2013,9.65,26,24,21
9/2/2013,9.65,27,24,21
9/3/2013,0,27,24,21
9/4/2013,0,28,23,17
9/5/2013,2.29,21,18,14
9/6/2013,0,22,17,11
9/7/2013,T,27,20,12
9/8/2013,T,26,19,13
9/9/2013,0,22,17,11
9/10/2013,0.76,25,20,15
9/11/2013,0,36,28,20
9/12/2013,14.48,31,26,19
9/13/2013,9.91,24,21,16
9/14/2013,T,20,17,14
9/15/2013,0,23,18,12
9/16/2013,T,21,16,10
9/17/2013,0,16,11,7
9/18/2013,0,24,17,11
9/19/2013,0,22,17,12
9/20/2013,0,22,17,13
9/21/2013,T,25,19,14
9/22/2013,9.4,23,18,13
9/23/2013,0,18,14,10
9/24/2013,0,20,14,8
9/25/2013,0,17,14,11
9/26/2013,0,17,15,13
9/27/2013,0,19,17,14
9/28/2013,0,21,17,13
9/29/2013,0,17,14,11
9/30/2013,0,18,14,11
10/1/2013,0,24,18,11
10/2/2013,0,28,22,17
10/3/2013,0,26,21,16
10/4/2013,0.76,19,17,15
10/5/2013,T,20,18,15
10/6/2013,7.87,17,15,13
10/7/2013,2.79,26,21,16
10/8/2013,0,20,16,11
10/9/2013,0,16,13,9
10/10/2013,0,16,13,9
10/11/2013,0,19,15,11
10/12/2013,T,16,14,12
10/13/2013,0,16,13,9
10/14/2013,0,16,12,7
10/15/2013,0,18,14,11
10/16/2013,0,17,14,11
10/17/2013,0.76,23,18,12
10/18/2013,0.51,21,17,13
10/19/2013,0,19,15,10
10/20/2013,T,18,14,9
10/21/2013,0,20,14,7
10/22/2013,T,22,16,9
10/23/2013,0,12,10,8
10/24/2013,0,13,10,6
10/25/2013,0,11,8,4
10/26/2013,0,14,8,3
10/27/2013,0.76,14,11,7
10/28/2013,0,16,10,4
10/29/2013,0,14,8,2
10/30/2013,1.27,12,8,4
10/31/2013,0.76,17,11,4
11/1/2013,0.76,22,19,16
11/2/2013,T,19,14,10
11/3/2013,0.76,12,7,1
11/4/2013,0,6,3,-1
11/5/2013,0,9,4,0
11/6/2013,0,16,11,6
11/7/2013,5.59,20,13,6
11/8/2013,0,10,7,3
11/9/2013,0,8,5,2
11/10/2013,0.76,14,10,6
11/11/2013,0,12,8,5
11/12/2013,2.03,10,4,-2
11/13/2013,0,3,0,-3
11/14/2013,0,11,5,-1
11/15/2013,0,17,10,3
11/16/2013,0,15,10,4
11/17/2013,1.02,13,8,3
11/18/2013,3.81,19,15,10
11/19/2013,0,10,5,0
11/20/2013,0,6,2,-2
11/21/2013,0,9,4,-2
11/22/2013,6.35,9,7,6
11/23/2013,T,10,5,-1
11/24/2013,T,-1,-3,-6
11/25/2013,0,1,-3,-8
11/26/2013,2.54,7,3,0
11/27/2013,45.47,17,11,4
11/28/2013,0,4,1,-3
11/29/2013,0,2,-2,-5
11/30/2013,0,2,-2,-7
12/1/2013,6.86,8,5,1
12/2/2013,0,5,4,3
12/3/2013,0,9,6,2
12/4/2013,T,7,4,2
12/5/2013,0.25,14,8,2
12/6/2013,7.62,14,8,2
12/7/2013,2.29,6,3,-1
12/8/2013,0,0,-1,-3
12/9/2013,10.92,9,3,-3
12/10/2013,1.78,3,1,-3
12/11/2013,0,0,-2,-4
12/12/2013,0,-3,-5,-8
12/13/2013,0,-1,-5,-9
12/14/2013,5.59,-1,-6,-12
12/15/2013,16.26,3,-1,-5
12/16/2013,T,-1,-4,-7
12/17/2013,13.46,-2,-7,-13
12/18/2013,T,2,-2,-7
12/19/2013,0,6,2,-3
12/20/2013,0,11,6,0
12/21/2013,0,12,9,5
12/22/2013,0.25,12,7,2
12/23/2013,17.27,4,3,1
12/24/2013,0,4,1,-2
12/25/2013,T,-2,-6,-9
12/26/2013,1.27,2,-2,-6
12/27/2013,0,2,0,-2
12/28/2013,0,9,3,-3
12/29/2013,33.53,7,4,1
12/30/2013,0,7,0,-7
12/31/2013,T,-3,-7,-10
1/1/2014,0,-2,-4,-7
1/2/2014,9.65,-3,-10,-17
1/3/2014,4.83,-10,-13,-17
1/4/2014,0,-3,-9,-17
1/5/2014,1.02,3,-1,-4
1/6/2014,8.13,13,6,-2
1/7/2014,T,-2,-7,-13
1/8/2014,0,-6,-9,-14
1/9/2014,0,-1,-4,-7
1/10/2014,0.51,3,-2,-8
1/11/2014,13.72,15,8,1
1/12/2014,T,12,8,3
1/13/2014,0,11,5,-1
1/14/2014,20.07,10,8,7
1/15/2014,T,9,6,2
1/16/2014,0,4,2,1
1/17/2014,0,8,4,1
1/18/2014,20.07,3,2,0
1/19/2014,0.76,2,1,-1
1/20/2014,0,5,1,-3
1/21/2014,2.79,-3,-7,-12
1/22/2014,T,-8,-11,-14
1/23/2014,0,-6,-10,-14
1/24/2014,0,-7,-11,-14
1/25/2014,T,3,-3,-9
