Date,company_code,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-08-27,CVX,74.97,78.12,74.56,77.64,21536583.0,0.0,1.0,70.27876059456375,73.23164969517568,69.89441629892855,72.78168564174909,21536583.0
2015-08-26,CVX,71.72,73.1,70.94,73.09,17397945.0,0.0,1.0,67.2321289828213,68.52577563642271,66.5009373960031,68.51640138530966,17397945.0
2015-08-25,CVX,74.93,75.02,69.84,70.02,21120912.0,0.0,1.0,70.24126359011154,70.32563185012901,65.4697697735672,65.63850629360216,21120912.0
2015-08-24,CVX,70.55,75.38,69.58,72.12,24188719.0,0.0,1.0,66.13534160259401,70.66310489019895,65.2260392446278,67.60709902734345,24188719.0
2015-08-21,CVX,78.87,79.59,75.71,75.76,18376151.0,0.0,1.0,73.93471852865471,74.60966460879457,70.97245517692973,71.019326432495,18376151.0
2015-08-20,CVX,80.66,81.287,79.24,79.24,11857241.0,0.0,1.0,75.61270947789131,76.2004750226798,74.2815658198377,74.2815658198377,11857241.0
2015-08-19,CVX,82.87,82.91,80.67,80.91,13127786.0,0.0,1.0,77.6844189738762,77.72191597832841,75.62208372900437,75.84706575571767,13127786.0
2015-08-18,CVX,83.08,83.77,82.82,83.44,9093090.0,0.0,1.0,77.88127824725032,78.52810157405102,77.63754771831091,78.21875128732026,9093090.0
2015-08-17,CVX,84.46,84.51,83.11,83.23,12602499.0,1.07,1.0,79.17492490085174,79.22179615641701,77.90940100058948,78.02189201394613,12602499.0
2015-08-14,CVX,85.78,86.42,85.29,85.99,7748930.0,0.0,1.0,79.39167137551958,79.98400839674052,78.93816334364729,79.58603196060768,7748930.0
2015-08-13,CVX,86.03,86.34,85.45,85.85,9561837.0,0.0,1.0,79.623053024434,79.9099662690879,79.08624759895253,79.45645823721561,9561837.0
2015-08-12,CVX,85.0,87.11,84.92,86.79,11380674.0,0.0,1.0,78.66976063090655,80.62262174774435,78.59571850325393,80.32645323713388,11380674.0
2015-08-11,CVX,84.38,85.9798,83.6,85.78,9797380.0,0.0,1.0,78.09593414159876,79.57659158933198,77.37402339698573,79.39167137551958,9797380.0
2015-08-10,CVX,84.2,86.1,83.88,85.89,8341929.0,0.0,1.0,77.92933935438037,79.68783988613004,77.63317084376989,79.49347930104193,8341929.0
2015-08-07,CVX,84.71,85.26,83.4294,83.75,7422037.0,0.0,1.0,78.4013579181658,78.91039754577756,77.21612855976653,77.51285238633439,7422037.0
2015-08-06,CVX,83.56,85.58,82.89,85.19,9804949.0,0.0,1.0,77.33700233315943,79.20656605638803,76.71689951406876,78.84561068408152,9804949.0
2015-08-05,CVX,85.44,86.0,83.87,84.03,11163959.0,0.0,1.0,79.07699233299594,79.59528722656427,77.62391557781332,77.77199983311856,11163959.0
2015-08-04,CVX,85.74,86.9,84.68,85.21,8537190.0,0.0,1.0,79.35465031169326,80.42826116265623,78.37359212029608,78.86412121599467,8537190.0
2015-08-03,CVX,87.28,87.33,85.32,85.6,14141327.0,0.0,1.0,80.77996126900617,80.82623759878905,78.96592914151701,79.22507658830118,14141327.0
2015-07-31,CVX,91.52,91.75,88.01,88.48,19063381.0,0.0,1.0,84.7041940345949,84.91706515159619,81.45559568383631,81.89059318379543,19063381.0
2015-07-30,CVX,93.45,93.81,92.75,93.03,6434925.0,0.0,1.0,86.49046036421431,86.8236499386511,85.8425917472539,86.10173919403807,6434925.0
2015-07-29,CVX,91.98,93.4,91.44,93.25,9821523.0,0.0,1.0,85.12993626859746,86.44418403443143,84.63015190694229,86.30535504508278,9821523.0
2015-07-28,CVX,89.45,92.69,89.432,92.4,11535254.0,0.0,1.0,82.78835398158343,85.78706015151444,82.77169450286158,85.51865743877372,11535254.0
2015-07-27,CVX,89.86,90.09,88.7401,89.14,10342743.0,0.0,1.0,83.16781988580308,83.38069100280437,82.131322651326,82.50144073692952,10342743.0
2015-07-24,CVX,92.78,92.78,90.3503,90.6,11156889.0,0.0,1.0,85.87035754512364,85.87035754512364,83.62160557565407,83.8527095665898,11156889.0
2015-07-23,CVX,93.57,94.07,92.7,92.94,7360651.0,0.0,1.0,86.60152355569323,87.0642868535221,85.79631541747102,86.01844180042887,7360651.0
2015-07-22,CVX,93.51,94.33,93.29,93.51,9327396.0,0.0,1.0,86.54599195995378,87.30492376839311,86.3423761089091,86.54599195995378,9327396.0
2015-07-21,CVX,93.0,94.14,93.0,93.9,7042284.0,0.0,1.0,86.07397339616834,87.12907371521814,86.07397339616834,86.9069473322603,7042284.0
2015-07-20,CVX,93.3,93.49,92.5901,92.94,6017978.0,0.0,1.0,86.35163137486566,86.52748142804062,85.69460004460825,86.01844180042887,6017978.0
2015-07-17,CVX,94.23,94.39,92.9,93.15,8213010.0,0.0,1.0,87.21237110882734,87.36045536413258,85.98142073660257,86.21280238551701,8213010.0
2015-07-16,CVX,94.28,94.73,93.9,94.48,6422701.0,0.0,1.0,87.25864743861023,87.67513440665621,86.9069473322603,87.44375275774178,6422701.0
2015-07-15,CVX,95.04,95.7,93.89,94.24,6490360.0,0.0,1.0,87.9620476513101,88.5728952044442,86.89769206630372,87.22162637478391,6490360.0
2015-07-14,CVX,94.4,95.79,94.39,95.55,5218395.0,0.0,1.0,87.36971063008916,88.6561925980534,87.36045536413258,88.43406621509554,5218395.0
2015-07-13,CVX,94.31,94.89,94.15,94.6,5038824.0,0.0,1.0,87.28641323647996,87.82321866196143,87.13832898117472,87.5548159492207,5038824.0
2015-07-10,CVX,94.53,94.95,94.07,94.41,5631857.0,0.0,1.0,87.49002908752466,87.8787502577009,87.0642868535221,87.37896589604573,5631857.0
2015-07-09,CVX,94.9,95.21,93.7601,93.78,7908996.0,0.0,1.0,87.83247392791802,88.1193871725719,86.77746616152777,86.79588414078137,7908996.0
2015-07-08,CVX,94.59,95.09,93.26,93.56,7719125.0,0.0,1.0,87.54556068326413,88.00832398109299,86.31461031103936,86.59226828973667,7719125.0
2015-07-07,CVX,94.41,95.48,93.5,95.27,11771416.0,0.0,1.0,87.37896589604573,88.3692793533995,86.5367366939972,88.17491876831137,11771416.0
2015-07-06,CVX,95.06,95.56,94.48,94.77,8340971.0,0.0,1.0,87.98055818322325,88.44332148105212,87.44375275774178,87.71215547048251,8340971.0
2015-07-02,CVX,96.36,96.67,95.72,95.87,6419079.0,0.0,1.0,89.1837427575783,89.47065600223219,88.59140573635734,88.73023472570601,6419079.0
2015-07-01,CVX,96.3,96.62,95.55,96.09,7295347.0,0.0,1.0,89.12821116183883,89.4243796724493,88.43406621509554,88.93385057675071,7295347.0
2015-06-30,CVX,97.45,97.66,96.22,96.47,9925372.0,0.0,1.0,90.19256674684522,90.38692733193334,89.05416903418622,89.28555068310064,9925372.0
2015-06-29,CVX,97.5,97.96,96.6,96.69,8763645.0,0.0,1.0,90.2388430766281,90.66458531063064,89.40586914053614,89.48916653414534,8763645.0
2015-06-26,CVX,98.24,98.69,97.81,98.6,10014019.0,0.0,1.0,90.92373275741481,91.34021972546078,90.525756321282,91.2569223318516,10014019.0
2015-06-25,CVX,99.45,99.66,98.29,98.34,6058657.0,0.0,1.0,92.04361993816066,92.23798052324878,90.97000908719771,91.0162854169806,6058657.0
2015-06-24,CVX,99.98,100.68,99.27,99.27,7451584.0,0.0,1.0,92.53414903385926,93.18201765081967,91.87702515094227,91.87702515094227,7451584.0
2015-06-23,CVX,99.96,100.43,99.5386,100.09,5697930.0,0.0,1.0,92.5156385019461,92.95063600190524,92.12562159453594,92.6359569593816,5697930.0
2015-06-22,CVX,99.83,100.366,99.37,100.29,6415473.0,0.0,1.0,92.3953200445106,92.89140229978314,91.96957781050804,92.82106227851315,6415473.0
2015-06-19,CVX,99.72,100.17,99.46,99.47,10155340.0,0.0,1.0,92.29351211898825,92.70999908703422,92.05287520411723,92.06213047007381,10155340.0
2015-06-18,CVX,100.26,100.9,100.15,100.25,7167579.0,0.0,1.0,92.79329648064342,93.38563350186436,92.69148855512107,92.78404121468684,7167579.0
2015-06-17,CVX,100.83,101.17,99.52,99.76,8231073.0,0.0,1.0,93.32084664016833,93.63552568269195,92.1084067998567,92.33053318281456,8231073.0
2015-06-16,CVX,99.2,100.445,98.81,100.04,8763706.0,0.0,1.0,91.81223828924624,92.96451890084009,91.45128291693972,92.58968062959873,8763706.0
2015-06-15,CVX,99.45,100.0605,99.13,99.29,6178081.0,0.0,1.0,92.04361993816066,92.6086539248097,91.74745142755019,91.89553568285544,6178081.0
2015-06-12,CVX,100.52,100.69,99.63,99.87,6475549.0,0.0,1.0,93.03393339551442,93.19127291677624,92.21021472537905,92.43234110833691,6475549.0
2015-06-11,CVX,101.87,102.2,100.94,101.12,5582880.0,0.0,1.0,94.28339429965236,94.58881807621941,93.42265456569066,93.58924935290906,5582880.0
2015-06-10,CVX,102.52,102.58,101.52,101.83,7588426.0,0.0,1.0,94.88498658682987,94.94051818256933,93.95945999117215,94.24637323582604,7588426.0
2015-06-09,CVX,100.7,101.25,100.22,100.42,7156959.0,0.0,1.0,93.20052818273282,93.70956781034457,92.7562754168171,92.94138073594866,7156959.0
2015-06-08,CVX,101.29,101.39,99.95,100.42,8213862.0,0.0,1.0,93.74658887417088,93.83914153373665,92.50638323598953,92.94138073594866,8213862.0
2015-06-05,CVX,101.18,103.1,100.99,101.59,6080925.0,0.0,1.0,93.64478094864853,95.42179201231134,93.46893089547355,94.02424685286819,6080925.0
2015-06-04,CVX,101.89,102.37,100.98,101.39,6896416.0,0.0,1.0,94.30190483156551,94.74615759748121,93.45967562951698,93.83914153373665,6896416.0
2015-06-03,CVX,102.4,103.38,102.12,102.17,5175666.0,0.0,1.0,94.77392339535095,95.68093945909551,94.5147759485668,94.56105227834968,5175666.0
2015-06-02,CVX,102.65,103.11,102.11,102.58,5039992.0,0.0,1.0,95.00530504426538,95.43104727826793,94.50552068261021,94.94051818256933,5039992.0
2015-06-01,CVX,103.47,103.75,102.49,102.63,5412066.0,0.0,1.0,95.76423685270471,96.02338429948888,94.85722078896013,94.98679451235222,5412066.0
2015-05-29,CVX,103.14,103.57,102.67,103.0,6673066.0,0.0,1.0,95.45881307613766,95.85678951227048,95.02381557617854,95.32923935274559,6673066.0
2015-05-28,CVX,102.96,103.42,102.38,103.24,5099925.0,0.0,1.0,95.29221828891927,95.71796052292183,94.75541286343778,95.55136573570343,5099925.0
2015-05-27,CVX,103.2,103.78,102.73,103.11,5856312.0,0.0,1.0,95.51434467187713,96.05115009735862,95.079347171918,95.43104727826793,5856312.0
2015-05-26,CVX,104.22,104.44,102.93,103.29,8006802.0,0.0,1.0,96.458381799448,96.66199765049271,95.26445249104955,95.59764206548633,8006802.0
2015-05-22,CVX,105.09,105.55,104.86,104.89,4717179.0,0.0,1.0,97.26358993767023,97.68933217167277,97.05071882066895,97.07848461853868,4717179.0
2015-05-21,CVX,105.97,106.27,105.3,105.49,6549281.0,0.0,1.0,98.07805334184903,98.35571132054633,97.45795052275835,97.63380057593331,6549281.0
2015-05-20,CVX,105.42,105.9,104.76,105.25,6520972.0,0.0,1.0,97.56901371423727,98.01326648015299,96.95816616110318,97.41167419297547,6520972.0
2015-05-19,CVX,106.05,106.31,105.0,105.02,7927644.0,0.0,1.0,98.15209546950165,98.39273238437265,97.18029254406103,97.19880307597418,7927644.0
2015-05-18,CVX,107.5,107.51,106.58,106.65,6390004.0,0.0,1.0,99.49410903320535,99.50336429916193,98.64262456520024,98.70741142689629,6390004.0
2015-05-15,CVX,107.21,108.33,106.94,108.03,5640513.0,1.07,1.0,99.2257063204646,100.26229610760124,98.97581413963701,99.98463812890394,5640513.0
2015-05-14,CVX,108.02,109.3,108.02,108.45,9750909.0,0.0,1.0,98.99487269188087,100.16792802464894,98.99487269188087,99.38894596773265,9750909.0
2015-05-13,CVX,107.98,108.47,107.3,107.7,5517559.0,0.0,1.0,98.95821471273187,99.40727495730715,98.33502906719883,98.70160885868886,5517559.0
2015-05-12,CVX,107.44,108.0,107.1,107.56,5017680.0,0.0,1.0,98.46333199422034,98.97654370230637,98.15173917145381,98.57330593166735,5017680.0
2015-05-11,CVX,108.65,108.69,107.3,107.36,6003513.0,0.0,1.0,99.57223586347766,99.60889384262666,98.33502906719883,98.39001603592233,6003513.0
2015-05-08,CVX,108.29,108.8,107.4,108.65,7078750.0,0.0,1.0,99.24231405113665,99.70970328528642,98.42667401507134,99.57223586347766,7078750.0
2015-05-07,CVX,107.69,108.2,106.69,107.57,5791776.0,0.0,1.0,98.6924443639016,99.15983359805139,97.77599488517654,98.58247042645459,5791776.0
2015-05-06,CVX,109.24,109.53,107.3,107.95,5819261.0,0.0,1.0,100.11294105592545,100.37871140475572,98.33502906719883,98.93072122837012,5819261.0
2015-05-05,CVX,109.24,109.93,108.0,108.0,6462646.0,0.0,1.0,100.11294105592545,100.74529119624574,98.97654370230637,98.97654370230637,6462646.0
2015-05-04,CVX,109.38,109.41,107.99,108.32,7659575.0,0.0,1.0,100.24124398294695,100.2687374673087,98.96737920751912,99.26980753549839,7659575.0
2015-05-01,CVX,110.28,110.8,108.3351,109.04,10362711.0,0.0,1.0,101.0660485137995,101.54260224273654,99.28364592262713,99.92965116018044,10362711.0
2015-04-30,CVX,112.04,112.2,110.44,111.06,6666042.0,0.0,1.0,102.67899959635561,102.82563151295162,101.21268043039551,101.78087910720505,6666042.0
2015-04-29,CVX,110.82,111.99,110.68,111.73,5665796.0,0.0,1.0,101.56093123231103,102.63317712241935,101.43262830528954,102.39490025795085,5665796.0
2015-04-28,CVX,110.05,111.24,109.65,111.12,5321604.0,0.0,1.0,100.85526513369274,101.94584001337556,100.48868534220273,101.83586607592856,5321604.0
2015-04-27,CVX,110.34,110.74,109.54,109.7,4858692.0,0.0,1.0,101.12103548252301,101.48761527401302,100.38787589954296,100.53450781613897,4858692.0
2015-04-24,CVX,109.67,110.04,109.03,109.87,4994970.0,0.0,1.0,100.50701433177723,100.8461006389055,99.92048666539318,100.69030422752223,4994970.0
2015-04-23,CVX,110.0,110.648,109.6,109.97,6940005.0,0.0,1.0,100.80944265975648,101.40330192197032,100.44286286826646,100.78194917539474,6940005.0
2015-04-22,CVX,110.05,110.44,109.21,109.5,5643072.0,0.0,1.0,100.85526513369274,101.21268043039551,100.08544757156369,100.35121792039396,5643072.0
2015-04-21,CVX,110.05,110.74,109.31,109.73,5674862.0,0.0,1.0,100.85526513369274,101.48761527401302,100.1770925194362,100.56200130050073,5674862.0
2015-04-20,CVX,109.57,111.71,109.55,110.29,7148830.0,0.0,1.0,100.4153693839047,102.37657126837634,100.3970403943302,101.07521300858676,7148830.0
2015-04-17,CVX,109.36,109.69,108.26,109.11,6546417.0,0.0,1.0,100.22291499337246,100.52534332135171,99.21482056677489,99.99380262369118,6546417.0
2015-04-16,CVX,109.9,110.94,109.0,110.16,5904249.0,0.0,1.0,100.71779771188399,101.67090516975804,99.89299318103143,100.95607457635249,5904249.0
2015-04-15,CVX,109.59,110.69,109.38,110.41,6703965.0,0.0,1.0,100.43369837347922,101.44179280007678,100.24124398294695,101.18518694603377,6703965.0
2015-04-14,CVX,107.7,109.0899,107.26,108.84,7262725.0,0.0,1.0,98.70160885868886,99.97538198916881,98.29837108804983,99.74636126443542,7262725.0
2015-04-13,CVX,107.35,107.9,106.44,106.5,4307219.0,0.0,1.0,98.38085154113507,98.88489875443388,97.54688251549528,97.60186948421878,4307219.0
2015-04-10,CVX,107.47,107.66,106.81,106.91,5012169.0,0.0,1.0,98.4908254785821,98.66495087953984,97.88596882262355,97.97761377049605,5012169.0
2015-04-09,CVX,106.8,107.24,106.1801,106.95,5760463.0,0.0,1.0,97.8768043278363,98.28004209847532,97.30869729597464,98.01427174964506,5760463.0
2015-04-08,CVX,108.86,108.92,106.52,106.66,7894791.0,0.0,1.0,99.76469025400992,99.81967722273343,97.62019847379328,97.74850140081479,7894791.0
2015-04-07,CVX,106.97,109.09,106.62,108.54,8535846.0,0.0,1.0,98.03260073921956,99.9754736341167,97.71184342166579,99.4714264208179,8535846.0
